title,id,genre,caption,description,permalink_url,download_count,last_modified,artwork_url,created_at,track_format,kind
Ya A'alem | أصالة - يا عالم,338894518,,,"يا عالم هشوفه ولو صدفة يوم.. لابيجيلي نوم ..
ولا بنساه.. وفرصة رجوعنا بتنقص اكيد ..
وهو بعيد .. وفين القاه ؟! 
وفكرة هكمّل وانا مش معاه ..
مابتجيش ف بالي كإن الحياه ..
خلاص واقفه عنده ورافضاني أعيش وبفضل مكاني بستناه ! 
أنا كل مادا بلاقي اللي فات .. مصمم مايقلبش ليه ذكريات 
وبتأكد اني ف غيابه ماليش نصيب تاني أرجع احس بحياه ! 
ماسابش لسؤالي عليه ليه مجال؟!
وبالحرف قال .. مافكّرش فيه.. كإن اللي بينا حكاية يومين ..
ماهياش سنين، وضاعت عليه وفكرة هكمّل وانا مش معاه ..
مابتجيش ف بالي كإن الحياه .. خلاص واقفه عنده ورافضاني أعيش وبفضل مكاني بستناه ! أنا كل مادا بلاقي اللي فات ..
مصمم مايقلبش ليه ذكريات .. وبتأكد اني ف غيابه ماليش نصيب تاني أرجع احس بحياه !

* كلمات 
أحمد معتز
* ألحان 
أحمد عز
* توزيع 
ياسر الماجد
* تسجيل و مكس
هاني محروس
* إستوديو
M.SOUND
* جيتار
شريف فهمي
* Bass Guitar
أحمد رجب 
* تشيلو
يحيي مهدي
* قانون
محمود عامر
* ناي
أحمد خيري


Produced By : @Stargatemusiceg
Executive Producer : Anas Nasri

International Designer : NICOLAS JEBRAN
Photographer : KAREEM NOUR
Stylist : Maya Hadad
Make Up : Hanan Alnajadah
Hair Dresser : Steve

Digital master : Hana Road Studios
Distribution outside Egypt : Rotana
Distribution in Egypt : Audio Egypt
Content Coordinator : Gimo
Social Media Management and Artwork by Brand Stamp

Follow Us At:
www.facebook.com/AssalaOfficial
www.twitter.com/AssalaOfficial
www.youtube.com/AssalaOfficial
www.Instagram.com/Assala_Official
@AssalaOfficial",https://soundcloud.com/assalaofficial/yaaalem,0.0,2021-10-30T12:18:38Z,https://i1.sndcdn.com/artworks-000239422855-ugp22q-large.jpg,2017-08-21T22:39:30Z,single-track,track
As she passes,191576787,Piano,,"I took some time away to write a short collection of piano and string pieces named 'Of Sleep and Time'. This is the opening piece.

Of Sleep and Time is available for free download at https://levipatel.bandcamp.com/

I have recently released an alternate version 'As she passes (nocturne)', included on my album A Shifting Lightness https://levipatel.bandcamp.com/album/a-shifting-lightness",https://soundcloud.com/levipatel/as-she-passes,0.0,2021-09-19T16:33:04Z,https://i1.sndcdn.com/artworks-000107020657-dc9aj5-large.jpg,2015-02-17T12:24:09Z,single-track,track
Was am Ende,237941720,Classical Crossover,,"Für Lena † 2011
___

her short life ended so suddenly and unexpected with only 20. beside the huge pain i experienced through her decision to leave, i think i can now say after years of thoughts and reflection, that it was also the event i learned the most of.

this day changed literally everything. it was the hardest reminder that we only have very limited time together, so early in life. it effected all my decisions, every breath is a deeper one since this day. i see with a clear mind and open heart now. it gave me more passion, the ability for self care, it strengthened my empathy & understanding and created a even stronger will to leave the world better than i found it.

i’m sharing this because i don’t want her to become forgotten and meaningless. so, this is what i learned. maybe you get something good from it, too.

be good to yourself. be good to people, even the ones you think that don’t deserve it. be kind to every other sentient being. everyone has her or his own invisible struggles, be aware of it and respect it. keep the people that don’t make you grow and keep you small out of your life. trust yourself, but be ready to question yourself, too. fight. try to find beauty in the saddest and darkest moments. don’t be surprised of change, because it will happen. don’t live a life of bad compromises, go for the whole. don’t fear insecurity. be more brave than you actually are.

_____",https://soundcloud.com/alice_baldwin/was-am-ende,0.0,2021-07-26T20:14:50Z,https://i1.sndcdn.com/artworks-fJzCiYUdpj5i-0-large.jpg,2015-12-17T07:26:37Z,single-track,track
January,199486709,Piano,,"Watch the video here:

https://www.youtube.com/watch?v=JvcY85y8t98",https://soundcloud.com/simeonwalkermusic/january,0.0,2021-10-31T13:45:23Z,https://i1.sndcdn.com/artworks-000112483597-1vbh4s-large.jpg,2015-04-06T11:37:10Z,single-track,track
To Speak Of Solitude,59702269,Ambient,,"Full stream and free download of the opening track from the album 'Charcoal' by Brambles. The extended edition was released March 1st, 2014. 

For more information visit:

https://www.serein.co.uk/releases/brambles-charcoal-special-edition",https://soundcloud.com/serein/to-speak-of-solitude,10422.0,2021-10-15T00:49:41Z,https://i1.sndcdn.com/artworks-000351225852-yjjf4l-large.jpg,2012-09-13T10:32:06Z,single-track,track
Jacob David - Intet Forbi,218705703,Piano,,"From the album '' Jacob David - omkuld '' released by Moderna Records.

Listen/buy/download : 
Bandcamp : https://modernarecords.bandcamp.com/album/omkuld
Spotify : https://open.spotify.com/album/6akvgxd9939Fa5T9ftV0YY
itunes : https://itunes.apple.com/au/album/omkuld/id1046073355

Jacob David - Intet Forbi 

composed by Jacob David

piano : Jacob David

violins & tenor violin : Kristian Jørgensen

cello : Line Felding

mixed & mastered by Morten Bue ",https://soundcloud.com/modernarecords/jacob-david-intet-forbi-03,0.0,2021-06-26T12:26:33Z,https://i1.sndcdn.com/artworks-000127938427-ewphli-large.jpg,2015-08-11T04:47:22Z,single-track,track
Tambour - The Nude And The Quiet,213551043,modern classical ,,"Tambour - Chapitre I | mr002

Listen/Buy/Download:
Bandcamp : https://modernarecords.bandcamp.com/album/chapitre-i
Spotify : https://open.spotify.com/album/1T9ZEbw8xXTWjBz5z0440N
itunes : https://itunes.apple.com/au/album/chapitre-i-ep/id1050834587
BUY / 12"" VINYL : https://modernarecords.bandcamp.com/album/chapitres-vinyl-edition

.: The Nude And The Quiet :.
Composed and produced by Simon P. Castonguay

Recorded by Benoît Parent
Mixed by Pierre Duchesne
Mastering by Pierre Duchesne

Piano/Tonal percussions - Simon P. Castonguay
Violon I - Rose Frappier
Violon II - Audrée Leduc
Alto - Mélanie Venditti
Cello - Eugénie Lalonde",https://soundcloud.com/modernarecords/tambour-the-nude-and-the-quiet,0.0,2021-09-12T21:15:10Z,https://i1.sndcdn.com/artworks-000122434013-w7jpgf-large.jpg,2015-07-06T22:08:04Z,single-track,track
Ben Lukas Boysen - Sleepers Beat Theme (Late Night Tales: Jon Hopkins),189274588,Ben Lukas Boysen,,"""I encountered this on the soundtrack to a short film I contributed music to about the Trans-Siberian Express, called Sleepers’ Beat, which was directed by a fantastic Russian filmmaker called Anastasia Kirillova. I thought it was such a calming and sensitive piece, and one that sounded to me like the beginning of something."" - Jon Hopkins

iTunes: hyperurl.co/JHITUNES
Late Night Tales Webshop: goo.gl/HyYIZ
Late Night Tales iTunes room: itunes.com/nighttimestories 
Listen to Late Night Tales releases on Spotify: goo.gl/Q98T7d

Follow Late Night Tales:

Web: http://latenighttales.co.uk
Facebook: http://www.facebook.com/latenighttales1
Twitter: http://twitter.com/LateNightTales
SoundCloud: http://soundcloud.com/latenighttales
YouTube: http://youtube.com/latenighttalestv
Instagram: http://instagram.com/latenighttalesofficial
Spotify: http://goo.gl/Q98T7d
Apple Music: https://music.apple.com/us/curator/late-night-tales/1233898093
Bandcamp: https://latenighttales.bandcamp.com/",https://soundcloud.com/latenighttales/ben-lukas-boysen-sleepers-beat-theme-1,0.0,2021-06-20T19:29:04Z,https://i1.sndcdn.com/artworks-000105479785-jepf0j-large.jpg,2015-02-03T13:59:30Z,single-track,track
The Beauty Of Dreaming,130646761,Contemporary,,"I dedicate my first track in 2014 to my old friend Thorsten, who became a father yesterday for the first time. I also dedicate this song to all dreamers out there- keep on dreaming;-) 
Hope you enjoy, take care 

Love and Peace

PessoaZ 

Like me on Facebook: https://www.facebook.com/pessoaz
Follow me on twitter:    http://twitter.com/PessoaZ1",https://soundcloud.com/pessoa1972/the-beauty-of-dreaming,0.0,2021-03-25T14:40:39Z,https://i1.sndcdn.com/artworks-000068600072-e09mub-large.jpg,2014-01-21T16:11:06Z,single-track,track
Escapism,48172480,Ambient Piano,,,https://soundcloud.com/juliagjertsen/1-escapism,0.0,2021-01-21T07:38:17Z,https://i1.sndcdn.com/artworks-Z72c08u1wpKzq0F3-F0GGWg-large.jpg,2012-05-31T14:56:30Z,single-track,track
