username,full_name,id,city,country_code,followers_count,permalink_url,avatar_url,verified,last_modified,kind
Assala,Assala Nasri,102433987,,,353686,https://soundcloud.com/assalaofficial,https://i1.sndcdn.com/avatars-000459010359-q41b48-large.jpg,True,2021-10-03T00:00:01Z,user
Levi Patel,Levi Patel,1776079,Auckland,NZ,13476,https://soundcloud.com/levipatel,https://i1.sndcdn.com/avatars-000660682205-k0gbc5-large.jpg,False,2020-02-25T06:26:57Z,user
Alice Baldwin,,93750493,Berlin,,4441,https://soundcloud.com/alice_baldwin,https://i1.sndcdn.com/avatars-LcqLIYPOHpKctU5z-JCiQ4Q-large.jpg,False,2021-09-13T10:49:41Z,user
Simeon Walker,"Leeds, UK",130872163,Pianist & Composer,,4944,https://soundcloud.com/simeonwalkermusic,https://i1.sndcdn.com/avatars-gvVb4EzELDpbBFdx-acybjw-large.jpg,False,2021-10-29T07:16:23Z,user
Serein,,1871,,GB,8044,https://soundcloud.com/serein,https://i1.sndcdn.com/avatars-000154943922-qzzald-large.jpg,True,2021-10-04T15:26:43Z,user
Moderna Records,Music Label,106382628,,,12620,https://soundcloud.com/modernarecords,https://i1.sndcdn.com/avatars-000585962421-5pl2ml-large.jpg,True,2021-03-21T16:06:22Z,user
Moderna Records,Music Label,106382628,,,12620,https://soundcloud.com/modernarecords,https://i1.sndcdn.com/avatars-000585962421-5pl2ml-large.jpg,True,2021-03-21T16:06:22Z,user
Late Night Tales,,3817541,,,53659,https://soundcloud.com/latenighttales,https://i1.sndcdn.com/avatars-000313453881-51znxu-large.jpg,True,2021-10-06T09:01:42Z,user
PessoaZ,,34115028,Cologne,DE,2615,https://soundcloud.com/pessoa1972,https://i1.sndcdn.com/avatars-000048439842-dbty7q-large.jpg,False,2015-02-22T13:15:09Z,user
Julia Gjertsen,,486361,Oslo,NO,1204,https://soundcloud.com/juliagjertsen,https://i1.sndcdn.com/avatars-OXFIv0V9aJTY8a6Q-gPvuIA-large.jpg,False,2021-08-20T19:25:21Z,user
mindthings,Clément Peres,1439557,Paris,FR,6329,https://soundcloud.com/mindthings,https://i1.sndcdn.com/avatars-000297891828-73goul-large.jpg,False,2021-08-04T16:18:23Z,user
Bruno Sanfilippo,Bruno Sanfilippo,1914953,,ES,5704,https://soundcloud.com/bruno_sanfilippo,https://i1.sndcdn.com/avatars-xRHzc4L1Hwyi6sYM-CIWm1g-large.jpg,True,2021-09-25T10:03:50Z,user
Sten Erland Hermundstad,Sten Erland Hermundstad,16446513,Oslo,NO,8923,https://soundcloud.com/sten-erland-hermundstad,https://i1.sndcdn.com/avatars-000332334436-aidxrd-large.jpg,True,2020-12-16T21:27:39Z,user
Michael McDonald,Michael McDonald,3988249,Vantaa,FI,415,https://soundcloud.com/michaelmcdonald,https://i1.sndcdn.com/avatars-000080214633-gp10on-large.jpg,False,2021-01-24T11:14:41Z,user
A Cerulean State,,9601457,Stockholm,,6194,https://soundcloud.com/aceruleanstate,https://i1.sndcdn.com/avatars-X7dLWCtB84oi3HA5-WLbWXw-large.jpg,False,2021-08-11T09:02:50Z,user
